iter	Logloss
0	0.5782273396
1	0.4959561142
2	0.4389737498
3	0.3976336055
4	0.3699156464
5	0.3492501274
6	0.3342030292
7	0.3240604659
8	0.3141678797
9	0.3087325305
10	0.3024671665
11	0.2969799673
12	0.2933326325
13	0.2899978721
14	0.2879081436
15	0.2850904425
16	0.2829230455
17	0.2811327667
18	0.2794264796
19	0.2779291024
20	0.2768803702
21	0.2758082952
22	0.274641097
23	0.2735478442
24	0.2725466243
25	0.2719417413
26	0.2711304596
27	0.2703511799
28	0.2698693677
29	0.2691269188
30	0.2684949438
31	0.267792691
32	0.267216912
33	0.2664328312
34	0.2659037896
35	0.2652744326
36	0.2647387509
37	0.264295024
38	0.2637199258
39	0.2631936208
40	0.2626980906
41	0.2623469551
42	0.2619300768
43	0.2614324177
44	0.261044072
45	0.2606340988
46	0.2603409801
47	0.2599424511
48	0.2597035079
49	0.25934448
50	0.2590289861
51	0.2586970866
52	0.2583709911
53	0.2580153952
54	0.2577794006
55	0.2574789385
56	0.2571868829
57	0.2568712316
58	0.2566353342
59	0.2563326377
60	0.2552394247
61	0.2549302748
62	0.2546661788
63	0.2544490906
64	0.2540984764
65	0.2538983596
66	0.253664736
67	0.2534643027
68	0.2525127642
69	0.2523502555
70	0.2522296729
71	0.2520109629
72	0.2517875563
73	0.2516176546
74	0.2514956592
75	0.2513293631
76	0.2511488293
77	0.2509367584
78	0.2508165614
79	0.2505503434
80	0.2503447253
81	0.2501480835
82	0.2499685302
83	0.2498471849
84	0.2496664367
85	0.249412483
86	0.2492593222
87	0.2490439356
88	0.24878178
89	0.2485784286
90	0.2483924399
91	0.2483037017
92	0.2480293814
93	0.2479333
94	0.2477849418
95	0.2476358201
96	0.2474513123
97	0.2473152481
98	0.2470870333
99	0.2469475586
100	0.2468111043
101	0.2466333709
102	0.2465300113
103	0.2463768026
104	0.2462503075
105	0.24608114
106	0.245567236
107	0.2454089418
108	0.2452849696
109	0.2451615623
110	0.2450651005
111	0.2449429803
112	0.244782081
113	0.2446661199
114	0.2445083584
115	0.244023358
116	0.2439637378
117	0.2438782258
118	0.2437216977
119	0.2435902524
120	0.2434340549
121	0.2433057984
122	0.243248063
123	0.2431398734
124	0.2430269289
125	0.2429035165
126	0.2427999792
127	0.2426912949
128	0.2425834151
129	0.2424838718
130	0.2421087012
131	0.241983069
132	0.2418953955
133	0.2418133254
134	0.2416898022
135	0.2413332677
136	0.2412599348
137	0.2411067108
138	0.2410369367
139	0.2409124348
140	0.2408164923
141	0.240756354
142	0.2404834877
143	0.2404014168
144	0.2401750689
145	0.2400424499
146	0.239969043
147	0.2398783973
148	0.239795806
149	0.2397415192
150	0.239666695
151	0.2395715924
152	0.2394306296
153	0.2393422169
154	0.2392801098
155	0.2391952268
156	0.2390908946
157	0.238979506
158	0.2388942367
159	0.238824963
160	0.2387643821
161	0.2386923121
162	0.2386150681
163	0.2385576799
164	0.2384912737
165	0.2384100867
166	0.2383436508
167	0.2382874177
168	0.2382319294
169	0.2381580751
170	0.2380880305
171	0.2380052836
172	0.2379350173
173	0.2378628794
174	0.2377443368
175	0.2376679557
176	0.2376105697
177	0.2375412903
178	0.2374704462
179	0.2373877422
180	0.2372894343
181	0.2372353589
182	0.2371777126
183	0.2371104005
184	0.237045661
185	0.2369533773
186	0.2369023605
187	0.2368544279
188	0.2367625905
189	0.2366994287
190	0.2366555714
191	0.2365939049
192	0.2365523398
193	0.2364692309
194	0.2363859688
195	0.2363151915
196	0.2362200818
197	0.2361573471
198	0.2361027813
199	0.2360436779
200	0.2359769246
201	0.2358911575
202	0.2358376256
203	0.2357787143
204	0.2357390917
205	0.2356671897
206	0.2355919625
207	0.2355401176
208	0.2355035127
209	0.2354560294
210	0.2353835262
211	0.235322127
212	0.2352627879
213	0.23517898
214	0.2351080094
215	0.2350540574
216	0.2350131947
217	0.234955708
218	0.234893259
219	0.2347817961
220	0.2347168786
221	0.2346490753
222	0.2345896454
223	0.234506577
224	0.2344121899
225	0.23432703
226	0.2342893359
227	0.2342305409
228	0.2341936431
229	0.2341500418
230	0.234101389
231	0.2340566539
232	0.2338951071
233	0.233843097
234	0.2337961307
235	0.2337603346
236	0.2337158466
237	0.233678197
238	0.2336347695
239	0.2335863397
240	0.2335293326
241	0.2334917125
242	0.2333943697
243	0.2333401877
244	0.2332723114
245	0.233215413
246	0.233164432
247	0.2331261359
248	0.2330838656
249	0.2330268686
250	0.2329850234
251	0.2329421253
252	0.2329067414
253	0.2328461294
254	0.2327947786
255	0.2327638893
256	0.2326937207
257	0.2326245936
258	0.232599213
259	0.2325315646
260	0.2324984637
261	0.2324327304
262	0.2323869421
263	0.2323492885
264	0.2323170423
265	0.2322340692
266	0.2321385789
267	0.2320977866
268	0.2320636604
269	0.2320040272
270	0.2319360582
271	0.2318874724
272	0.2317754862
273	0.2317435355
274	0.2317064431
275	0.2316502962
276	0.231598093
277	0.2315747281
278	0.2315231202
279	0.2313668829
280	0.2313108232
281	0.2312593909
282	0.2312215733
283	0.231145959
284	0.2311056704
285	0.2310682534
286	0.2310071388
287	0.2309611532
288	0.2309181997
289	0.230895297
290	0.2306917286
291	0.230641017
292	0.230628682
293	0.2305943675
294	0.2305622268
295	0.2305101864
296	0.2304644368
297	0.2304356301
298	0.2303854048
299	0.2303424551
300	0.2302905553
301	0.2302055752
302	0.2301719417
303	0.2301189321
304	0.2300750285
305	0.2300416387
306	0.2299985862
307	0.2299419646
308	0.2299113424
309	0.2298670588
310	0.2298366831
311	0.2297691332
312	0.229729387
313	0.2296895539
314	0.2296411975
315	0.2295905174
316	0.2295376281
317	0.2295053257
318	0.2294500426
319	0.2294031987
320	0.2293400448
321	0.2292936745
322	0.2292482449
323	0.2292157815
324	0.2291881332
325	0.2291557121
326	0.2291242711
327	0.2290849781
328	0.2290536443
329	0.2290193068
330	0.2289940901
331	0.2289512672
332	0.2289134608
333	0.2288858105
334	0.2288415989
335	0.2288013826
336	0.2287537898
337	0.2287224892
338	0.2286793155
339	0.2286317017
340	0.2286033867
341	0.2285483882
342	0.2285136285
343	0.2284504023
344	0.2284324115
345	0.2284025376
346	0.2283710841
347	0.2283338975
348	0.22829591
349	0.2282554738
